,Mes,Región,Temperatura
0,Ene,Aguascalientes,13.0
1,Feb,Aguascalientes,16.7
2,Mar,Aguascalientes,18.8
3,Abr,Aguascalientes,19.9
4,May,Aguascalientes,21.9
5,Jun,Aguascalientes,21.3
6,Jul,Aguascalientes,20.5
7,Ago,Aguascalientes,20.4
8,Sep,Aguascalientes,19.9
9,Oct,Aguascalientes,18.5
10,Nov,Aguascalientes,14.7
11,Dic,Aguascalientes,12.7
12,Ene,Baja California,16.3
13,Feb,Baja California,15.5
14,Mar,Baja California,16.6
15,Abr,Baja California,20.4
16,May,Baja California,20.5
17,Jun,Baja California,24.3
18,Jul,Baja California,28.6
19,Ago,Baja California,29.6
20,Sep,Baja California,27.2
21,Oct,Baja California,21.6
22,Nov,Baja California,17.1
23,Dic,Baja California,13.8
24,Ene,Baja California Sur,19.7
25,Feb,Baja California Sur,19.9
26,Mar,Baja California Sur,20.7
27,Abr,Baja California Sur,22.9
28,May,Baja California Sur,24.8
29,Jun,Baja California Sur,26.9
30,Jul,Baja California Sur,29.9
31,Ago,Baja California Sur,29.9
32,Sep,Baja California Sur,29.3
33,Oct,Baja California Sur,25.7
34,Nov,Baja California Sur,22.1
35,Dic,Baja California Sur,19.2
36,Ene,Campeche,22.3
37,Feb,Campeche,26.1
38,Mar,Campeche,27.5
39,Abr,Campeche,28.5
40,May,Campeche,28.9
41,Jun,Campeche,28.8
42,Jul,Campeche,29.0
43,Ago,Campeche,28.4
44,Sep,Campeche,28.4
45,Oct,Campeche,27.4
46,Nov,Campeche,26.0
47,Dic,Campeche,24.4
48,Ene,Coahuila,11.7
49,Feb,Coahuila,18.0
50,Mar,Coahuila,20.5
51,Abr,Coahuila,22.2
52,May,Coahuila,27.4
53,Jun,Coahuila,29.4
54,Jul,Coahuila,28.7
55,Ago,Coahuila,28.7
56,Sep,Coahuila,24.7
57,Oct,Coahuila,21.5
58,Nov,Coahuila,15.5
59,Dic,Coahuila,13.6
60,Ene,Colima,25.2
61,Feb,Colima,26.2
62,Mar,Colima,25.8
63,Abr,Colima,25.8
64,May,Colima,28.7
65,Jun,Colima,28.4
66,Jul,Colima,29.5
67,Ago,Colima,28.4
68,Sep,Colima,28.4
69,Oct,Colima,27.8
70,Nov,Colima,26.5
71,Dic,Colima,25.6
72,Ene,Chiapas,21.8
73,Feb,Chiapas,24.7
74,Mar,Chiapas,26.1
75,Abr,Chiapas,26.5
76,May,Chiapas,26.9
77,Jun,Chiapas,25.8
78,Jul,Chiapas,26.0
