,Mes,Región,Temperatura
173,Jun,Estado de México,17.7
174,Jul,Estado de México,16.4
175,Ago,Estado de México,16.5
176,Sep,Estado de México,15.9
177,Oct,Estado de México,15.7
178,Nov,Estado de México,14.7
179,Dic,Estado de México,12.5
180,Ene,Michoacán,17.5
181,Feb,Michoacán,19.9
182,Mar,Michoacán,21.5
183,Abr,Michoacán,21.8
184,May,Michoacán,23.9
185,Jun,Michoacán,23.5
186,Jul,Michoacán,22.3
187,Ago,Michoacán,21.9
188,Sep,Michoacán,21.5
189,Oct,Michoacán,21.2
190,Nov,Michoacán,20.6
191,Dic,Michoacán,18.3
192,Ene,Morelos,19.2
193,Feb,Morelos,21.9
194,Mar,Morelos,24.4
195,Abr,Morelos,24.6
196,May,Morelos,25.4
197,Jun,Morelos,23.6
198,Jul,Morelos,22.4
199,Ago,Morelos,22.6
200,Sep,Morelos,22.4
201,Oct,Morelos,21.7
202,Nov,Morelos,21.2
203,Dic,Morelos,19.5
204,Ene,Nayarit,22.9
205,Feb,Nayarit,23.6
206,Mar,Nayarit,24.4
207,Abr,Nayarit,25.3
208,May,Nayarit,26.7
209,Jun,Nayarit,29.9
210,Jul,Nayarit,29.5
211,Ago,Nayarit,28.7
212,Sep,Nayarit,28.4
213,Oct,Nayarit,28.1
214,Nov,Nayarit,27.0
215,Dic,Nayarit,23.6
216,Ene,Nuevo León,14.2
217,Feb,Nuevo León,18.2
218,Mar,Nuevo León,19.4
219,Abr,Nuevo León,22.7
220,May,Nuevo León,26.5
221,Jun,Nuevo León,28.2
222,Jul,Nuevo León,27.9
223,Ago,Nuevo León,29.8
224,Sep,Nuevo León,26.4
225,Oct,Nuevo León,23.4
226,Nov,Nuevo León,18.3
227,Dic,Nuevo León,16.2
228,Ene,Oaxaca,21.4
229,Feb,Oaxaca,24.3
230,Mar,Oaxaca,24.4
231,Abr,Oaxaca,25.6
232,May,Oaxaca,26.7
233,Jun,Oaxaca,25.8
234,Jul,Oaxaca,24.3
