,Mes,Región,Temperatura
0,Ene,Aguascalientes,12.9
1,Feb,Aguascalientes,14.9
2,Mar,Aguascalientes,17.9
3,Abr,Aguascalientes,19.4
4,May,Aguascalientes,20.5
5,Jun,Aguascalientes,19.8
6,Jul,Aguascalientes,18.9
7,Ago,Aguascalientes,19.2
8,Sep,Aguascalientes,18.7
9,Oct,Aguascalientes,
10,Nov,Aguascalientes,
11,Dic,Aguascalientes,
12,Ene,Baja California,13.6
13,Feb,Baja California,14.4
14,Mar,Baja California,14.1
15,Abr,Baja California,18.0
16,May,Baja California,20.5
17,Jun,Baja California,24.4
18,Jul,Baja California,27.4
19,Ago,Baja California,27.0
20,Sep,Baja California,26.4
21,Oct,Baja California,
22,Nov,Baja California,
23,Dic,Baja California,
24,Ene,Baja California Sur,17.3
25,Feb,Baja California Sur,18.2
26,Mar,Baja California Sur,19.0
27,Abr,Baja California Sur,21.9
28,May,Baja California Sur,23.8
29,Jun,Baja California Sur,26.9
30,Jul,Baja California Sur,28.2
31,Ago,Baja California Sur,29.1
32,Sep,Baja California Sur,27.7
33,Oct,Baja California Sur,
34,Nov,Baja California Sur,
35,Dic,Baja California Sur,
36,Ene,Campeche,24.1
37,Feb,Campeche,25.2
38,Mar,Campeche,27.4
39,Abr,Campeche,29.6
40,May,Campeche,29.8
41,Jun,Campeche,29.2
42,Jul,Campeche,29.0
43,Ago,Campeche,28.8
44,Sep,Campeche,28.7
45,Oct,Campeche,
46,Nov,Campeche,
47,Dic,Campeche,
48,Ene,Coahuila,13.5
49,Feb,Coahuila,15.5
50,Mar,Coahuila,19.8
51,Abr,Coahuila,23.0
52,May,Coahuila,26.2
53,Jun,Coahuila,28.1
54,Jul,Coahuila,27.5
55,Ago,Coahuila,27.8
56,Sep,Coahuila,26.6
57,Oct,Coahuila,
58,Nov,Coahuila,
59,Dic,Coahuila,
60,Ene,Colima,24.8
61,Feb,Colima,24.2
62,Mar,Colima,24.9
63,Abr,Colima,25.5
64,May,Colima,27.2
65,Jun,Colima,28.2
66,Jul,Colima,28.6
67,Ago,Colima,28.1
68,Sep,Colima,27.7
69,Oct,Colima,
70,Nov,Colima,
71,Dic,Colima,
72,Ene,Chiapas,23.9
73,Feb,Chiapas,24.0
74,Mar,Chiapas,25.4
75,Abr,Chiapas,27.0
76,May,Chiapas,26.7
77,Jun,Chiapas,26.0
78,Jul,Chiapas,26.2
79,Ago,Chiapas,26.0
80,Sep,Chiapas,25.4
81,Oct,Chiapas,
82,Nov,Chiapas,
83,Dic,Chiapas,
84,Ene,Chihuahua,9.9
85,Feb,Chihuahua,13.4
86,Mar,Chihuahua,15.4
87,Abr,Chihuahua,19.3
88,May,Chihuahua,22.8
89,Jun,Chihuahua,26.5
90,Jul,Chihuahua,24.5
91,Ago,Chihuahua,24.5
92,Sep,Chihuahua,23.0
93,Oct,Chihuahua,
94,Nov,Chihuahua,
95,Dic,Chihuahua,
96,Ene,Ciudad de México,15.3
