,Mes,Región,Temperatura
0,Ene,Aguascalientes,13.0
1,Feb,Aguascalientes,15.0
2,Mar,Aguascalientes,19.3
3,Abr,Aguascalientes,20.5
4,May,Aguascalientes,20.7
5,Jun,Aguascalientes,22.1
6,Jul,Aguascalientes,20.8
7,Ago,Aguascalientes,20.0
8,Sep,Aguascalientes,19.0
9,Oct,Aguascalientes,17.6
10,Nov,Aguascalientes,15.8
11,Dic,Aguascalientes,13.5
12,Ene,Baja California,13.6
13,Feb,Baja California,14.4
14,Mar,Baja California,14.4
15,Abr,Baja California,18.1
16,May,Baja California,22.7
17,Jun,Baja California,24.2
18,Jul,Baja California,26.7
19,Ago,Baja California,28.5
20,Sep,Baja California,26.6
21,Oct,Baja California,23.0
22,Nov,Baja California,16.4
23,Dic,Baja California,13.8
24,Ene,Baja California Sur,17.8
25,Feb,Baja California Sur,18.4
26,Mar,Baja California Sur,19.8
27,Abr,Baja California Sur,21.8
28,May,Baja California Sur,23.9
29,Jun,Baja California Sur,26.8
30,Jul,Baja California Sur,28.7
31,Ago,Baja California Sur,29.6
32,Sep,Baja California Sur,29.4
33,Oct,Baja California Sur,27.0
34,Nov,Baja California Sur,22.8
35,Dic,Baja California Sur,18.2
36,Ene,Campeche,24.6
37,Feb,Campeche,26.0
38,Mar,Campeche,28.0
39,Abr,Campeche,31.1
40,May,Campeche,30.2
41,Jun,Campeche,28.9
42,Jul,Campeche,29.3
43,Ago,Campeche,29.0
44,Sep,Campeche,28.8
45,Oct,Campeche,27.6
46,Nov,Campeche,26.3
47,Dic,Campeche,23.9
48,Ene,Coahuila,14.3
49,Feb,Coahuila,15.6
50,Mar,Coahuila,22.1
51,Abr,Coahuila,23.9
52,May,Coahuila,26.8
53,Jun,Coahuila,27.9
54,Jul,Coahuila,29.2
55,Ago,Coahuila,28.5
56,Sep,Coahuila,24.2
57,Oct,Coahuila,22.5
58,Nov,Coahuila,19.4
59,Dic,Coahuila,13.3
60,Ene,Colima,25.8
61,Feb,Colima,25.4
62,Mar,Colima,26.6
63,Abr,Colima,25.9
64,May,Colima,26.3
65,Jun,Colima,28.3
66,Jul,Colima,28.8
67,Ago,Colima,28.2
68,Sep,Colima,28.1
69,Oct,Colima,28.7
70,Nov,Colima,27.8
71,Dic,Colima,25.5
72,Ene,Chiapas,24.5
73,Feb,Chiapas,25.3
74,Mar,Chiapas,25.6
75,Abr,Chiapas,27.8
76,May,Chiapas,27.3
77,Jun,Chiapas,25.8
78,Jul,Chiapas,26.1
79,Ago,Chiapas,26.0
80,Sep,Chiapas,25.7
81,Oct,Chiapas,25.1
82,Nov,Chiapas,24.8
83,Dic,Chiapas,22.4
84,Ene,Chihuahua,10.8
85,Feb,Chihuahua,12.0
86,Mar,Chihuahua,16.7
87,Abr,Chihuahua,19.4
88,May,Chihuahua,23.7
89,Jun,Chihuahua,26.4
90,Jul,Chihuahua,26.1
91,Ago,Chihuahua,26.6
92,Sep,Chihuahua,22.6
93,Oct,Chihuahua,20.0
94,Nov,Chihuahua,16.3
95,Dic,Chihuahua,9.6
96,Ene,Ciudad de México,15.6
97,Feb,Ciudad de México,18.1
98,Mar,Ciudad de México,19.4
99,Abr,Ciudad de México,20.7
100,May,Ciudad de México,19.9
101,Jun,Ciudad de México,19.8
102,Jul,Ciudad de México,19.6
103,Ago,Ciudad de México,19.0
104,Sep,Ciudad de México,18.5
105,Oct,Ciudad de México,16.9
106,Nov,Ciudad de México,16.1
107,Dic,Ciudad de México,15.5
108,Ene,Durango,11.8
109,Feb,Durango,13.8
110,Mar,Durango,18.4
111,Abr,Durango,20.2
112,May,Durango,22.2
113,Jun,Durango,23.7
114,Jul,Durango,23.3
115,Ago,Durango,23.0
116,Sep,Durango,20.4
117,Oct,Durango,18.4
118,Nov,Durango,15.9
119,Dic,Durango,11.5
120,Ene,Guanajuato,15.2
121,Feb,Guanajuato,17.3
122,Mar,Guanajuato,20.6
123,Abr,Guanajuato,22.8
124,May,Guanajuato,22.2
125,Jun,Guanajuato,22.1
